Generation;Max;Min;Mean
282;7.05E-05;6.76E-37;1.27E-05
283;7.05E-05;6.82E-48;1.27E-05
284;7.05E-05;1.01E-05;1.30E-05
285;7.05E-05;1.07E-05;1.30E-05
286;7.05E-05;5.30E-49;1.24E-05
287;7.05E-05;3.07E-42;1.28E-05
288;7.05E-05;1.09E-05;1.31E-05
289;7.05E-05;1.54E-49;1.30E-05
290;7.05E-05;1.14E-05;1.31E-05
291;7.05E-05;1.43E-17;1.30E-05
292;7.05E-05;1.14E-05;1.32E-05
293;7.05E-05;3.07E-42;1.31E-05
294;7.05E-05;1.09E-05;1.32E-05
295;7.05E-05;1.05E-05;1.32E-05
296;7.05E-05;1.09E-05;1.32E-05
297;7.05E-05;1.56E-30;1.31E-05
298;7.05E-05;1.05E-05;1.33E-05
299;7.05E-05;1.12E-05;1.33E-05
300;7.05E-05;1.05E-05;1.33E-05
301;7.05E-05;8.02E-17;1.32E-05
302;7.05E-05;2.17E-28;1.30E-05
303;7.05E-05;1.12E-05;1.33E-05
304;7.05E-05;3.07E-42;1.32E-05
305;7.05E-05;1.06E-05;1.33E-05
306;7.05E-05;1.13E-05;1.34E-05
307;7.05E-05;3.07E-42;1.33E-05
308;7.05E-05;1.13E-05;1.34E-05
309;7.05E-05;1.10E-05;1.34E-05
310;7.05E-05;1.14E-05;1.34E-05
311;7.05E-05;3.07E-42;1.33E-05
312;7.05E-05;1.14E-05;1.34E-05
313;7.05E-05;1.83E-30;1.33E-05
314;7.05E-05;3.07E-42;1.32E-05
315;7.05E-05;1.66E-26;1.34E-05
316;7.05E-05;1.11E-05;1.35E-05
317;7.05E-05;3.07E-42;1.34E-05
318;7.05E-05;1.11E-05;1.41E-05
319;7.11E-05;3.07E-42;1.46E-05
320;7.17E-05;8.92E-17;1.52E-05
321;7.31E-05;8.92E-17;1.58E-05
322;7.31E-05;1.90E-34;1.57E-05
323;7.31E-05;7.05E-24;1.59E-05
324;7.31E-05;1.11E-05;1.60E-05
325;7.31E-05;2.25E-34;1.56E-05
326;7.31E-05;9.05E-17;1.59E-05
327;7.31E-05;1.22E-05;1.60E-05
328;7.31E-05;1.15E-05;1.60E-05
329;7.31E-05;3.07E-42;1.56E-05
330;7.31E-05;3.57E-25;1.57E-05
331;7.31E-05;1.20E-05;1.62E-05
332;7.31E-05;2.86E-28;1.60E-05
333;7.31E-05;7.70E-35;1.57E-05
334;7.31E-05;8.11E-31;1.55E-05
335;7.31E-05;3.02E-27;1.60E-05
336;7.31E-05;9.57E-22;1.61E-05
337;7.31E-05;5.99E-25;1.65E-05
338;7.31E-05;5.30E-25;1.77E-05
339;7.31E-05;3.07E-42;1.77E-05
340;7.31E-05;7.55E-35;1.84E-05
341;7.31E-05;1.20E-05;1.97E-05
342;7.31E-05;3.07E-42;1.94E-05
343;7.31E-05;5.24E-21;2.05E-05
344;7.31E-05;1.13E-26;2.03E-05
345;7.38E-05;3.07E-42;2.26E-05
346;7.62E-05;1.13E-26;2.50E-05
347;7.62E-05;1.13E-26;2.68E-05
348;7.67E-05;6.55E-26;3.18E-05
349;6.23E-04;7.86E-24;3.98E-05
350;6.23E-04;3.07E-42;4.49E-05
351;6.23E-04;6.13E-48;4.83E-05
352;6.23E-04;7.86E-24;5.57E-05
353;6.23E-04;1.33E-05;6.47E-05
354;6.23E-04;1.14E-36;6.95E-05
355;6.23E-04;2.31E-20;7.46E-05
356;6.23E-04;3.78E-30;7.68E-05
357;6.23E-04;3.07E-42;7.88E-05
358;6.23E-04;3.07E-42;8.14E-05
359;6.23E-04;6.71E-05;8.47E-05
360;6.23E-04;6.80E-05;8.68E-05
361;6.23E-04;3.07E-42;8.86E-05
362;6.23E-04;2.13E-37;8.96E-05
363;6.23E-04;2.09E-28;9.29E-05
364;6.23E-04;3.07E-42;9.53E-05
365;6.23E-04;7.29E-18;9.81E-05
366;6.23E-04;7.76E-05;1.03E-04
367;6.23E-04;3.07E-42;1.10E-04
368;6.23E-04;7.86E-05;1.14E-04
369;6.23E-04;5.70E-33;1.14E-04
370;6.23E-04;5.70E-33;1.16E-04
371;6.23E-04;8.65E-27;1.17E-04
372;6.23E-04;9.18E-05;1.20E-04
373;6.23E-04;9.30E-05;1.23E-04
374;6.23E-04;3.07E-42;1.25E-04
375;6.23E-04;9.82E-05;1.28E-04
376;6.23E-04;7.32E-39;1.29E-04
377;6.23E-04;7.32E-39;1.31E-04
378;6.23E-04;1.86E-25;1.33E-04
379;6.23E-04;1.13E-04;1.35E-04
380;6.23E-04;1.12E-04;1.37E-04
381;6.23E-04;3.07E-42;1.37E-04
382;6.23E-04;1.43E-38;1.48E-04
