Generation;Max;Min;Mean
325;1.49E-06;1.05E-64;2.85E-08
326;1.49E-06;1.05E-64;2.85E-08
327;1.49E-06;1.29E-47;2.85E-08
328;1.49E-06;3.14E-45;2.86E-08
329;1.49E-06;1.92E-50;2.86E-08
330;1.49E-06;9.80E-48;2.86E-08
331;1.49E-06;9.80E-48;2.86E-08
332;1.49E-06;1.52E-40;2.86E-08
333;1.49E-06;2.93E-55;2.86E-08
334;1.49E-06;1.27E-50;2.86E-08
335;1.49E-06;4.13E-49;2.86E-08
336;1.49E-06;5.57E-50;2.86E-08
337;1.49E-06;6.95E-43;2.86E-08
338;1.49E-06;1.09E-43;2.86E-08
339;1.49E-06;5.43E-43;2.86E-08
340;1.49E-06;1.03E-41;2.92E-08
341;1.49E-06;1.17E-44;2.92E-08
342;1.49E-06;6.94E-50;2.92E-08
343;1.49E-06;1.17E-44;2.92E-08
344;1.49E-06;1.17E-44;2.92E-08
345;1.49E-06;1.53E-68;3.09E-08
346;1.49E-06;1.56E-61;3.09E-08
347;1.49E-06;1.56E-61;3.08E-08
348;1.49E-06;4.17E-55;3.08E-08
349;1.49E-06;2.02E-55;3.08E-08
350;1.49E-06;1.97E-46;3.08E-08
351;1.49E-06;2.08E-42;3.08E-08
352;1.49E-06;8.20E-51;2.82E-08
353;1.49E-06;4.55E-65;2.83E-08
354;1.49E-06;1.75E-62;2.83E-08
355;1.49E-06;1.75E-62;2.83E-08
356;1.49E-06;1.63E-49;2.83E-08
357;1.49E-06;4.95E-54;2.82E-08
358;3.57E-07;6.74E-61;1.33E-08
359;3.57E-07;7.82E-50;1.33E-08
360;3.57E-07;1.09E-46;1.33E-08
361;3.57E-07;1.69E-75;1.33E-08
362;3.57E-07;6.85E-47;1.33E-08
363;3.57E-07;3.61E-55;1.33E-08
364;3.57E-07;3.61E-55;1.33E-08
365;3.57E-07;2.26E-43;1.30E-08
366;3.57E-07;4.17E-56;1.41E-08
367;3.57E-07;1.02E-48;1.41E-08
368;3.57E-07;1.18E-49;1.41E-08
369;5.83E-07;3.39E-71;1.99E-08
370;5.83E-07;1.00E-68;1.99E-08
371;5.83E-07;1.44E-59;1.99E-08
372;5.83E-07;5.32E-53;1.99E-08
373;5.83E-07;2.65E-61;1.99E-08
374;5.83E-07;8.43E-51;1.82E-08
375;5.83E-07;3.10E-49;1.82E-08
376;5.83E-07;1.12E-48;1.82E-08
377;5.83E-07;1.12E-48;1.82E-08
378;5.83E-07;2.25E-39;1.82E-08
379;5.83E-07;9.11E-43;1.82E-08
380;5.83E-07;1.32E-83;1.82E-08
381;5.83E-07;1.12E-55;1.82E-08
382;5.83E-07;4.69E-52;1.82E-08
383;5.83E-07;4.86E-55;1.82E-08
