Generation;Max;Min;Mean
193;1.83E-06;4.47E-62;2.00E-08
194;1.83E-06;5.68E-59;3.06E-08
195;1.83E-06;1.74E-60;2.89E-08
196;1.83E-06;7.41E-55;2.89E-08
197;1.02E-06;3.74E-65;1.07E-08
198;6.04E-06;7.41E-55;7.07E-08
199;1.02E-06;3.96E-64;1.02E-08
200;1.02E-06;9.16E-52;1.02E-08
201;1.02E-06;1.03E-44;1.03E-08
202;1.02E-06;1.28E-52;1.03E-08
203;1.02E-06;8.91E-62;1.03E-08
204;5.24E-09;1.47E-55;5.32E-11
205;5.24E-09;1.50E-49;5.31E-11
206;1.27E-05;3.09E-76;1.27E-07
207;1.27E-05;3.60E-64;1.27E-07
208;3.51E-07;2.14E-67;3.51E-09
209;3.51E-07;1.78E-65;3.51E-09
210;3.51E-07;5.68E-58;3.51E-09
211;3.51E-07;5.68E-58;3.51E-09
212;3.51E-07;2.32E-59;3.51E-09
213;1.22E-05;1.95E-56;1.25E-07
214;1.22E-05;7.46E-50;1.25E-07
215;1.22E-05;2.64E-62;1.30E-07
216;1.22E-05;2.43E-52;1.26E-07
217;1.22E-05;1.50E-63;1.23E-07
218;8.60E-08;3.06E-61;9.57E-10
219;8.60E-08;4.95E-65;1.74E-09
220;8.60E-08;1.20E-66;1.74E-09
221;8.60E-08;1.20E-66;1.74E-09
222;9.11E-07;8.12E-66;1.09E-08
223;9.11E-07;4.05E-64;1.01E-08
224;9.11E-07;9.75E-70;1.57E-08
225;9.11E-07;2.70E-61;1.57E-08
226;9.11E-07;2.47E-62;1.57E-08
227;9.11E-07;1.80E-51;1.15E-08
228;9.11E-07;4.05E-57;9.97E-09
229;9.11E-07;3.67E-56;9.97E-09
230;9.11E-07;6.41E-55;9.11E-09
231;9.11E-07;6.47E-67;9.11E-09
232;1.98E-08;1.12E-61;2.19E-10
233;1.98E-08;3.20E-64;2.19E-10
234;1.98E-08;6.41E-55;2.48E-10
235;1.98E-08;6.27E-63;2.49E-10
236;0.003263405;1.62E-77;3.26E-05
237;0.003263405;7.11E-62;3.26E-05
238;0.003263405;2.58E-63;3.26E-05
239;0.003263405;2.58E-63;3.26E-05
240;0.003263405;4.52E-59;3.26E-05
241;1.98E-08;3.45E-59;2.09E-10
242;1.98E-08;5.76E-62;2.07E-10
243;6.46E-08;2.29E-61;8.57E-10
244;1.98E-08;7.91E-58;2.07E-10
245;1.98E-08;1.26E-59;2.07E-10
246;1.20E-09;1.58E-53;2.10E-11
247;2.17E-07;6.11E-60;2.19E-09
248;2.17E-07;9.85E-56;2.18E-09
249;2.17E-07;2.61E-58;2.17E-09
250;2.17E-07;1.53E-65;2.18E-09
251;2.17E-07;9.38E-61;2.18E-09
252;2.17E-07;1.97E-55;2.19E-09
253;2.17E-07;1.15E-70;3.32E-09
254;5.94E-05;1.15E-70;5.96E-07
255;5.94E-05;7.15E-63;5.96E-07
256;5.94E-05;7.80E-54;5.96E-07
257;5.94E-05;7.80E-54;5.96E-07
258;5.94E-05;1.60E-75;6.08E-07
259;5.94E-05;1.65E-67;6.22E-07
260;5.94E-05;2.70E-60;6.10E-07
261;5.94E-05;9.83E-63;6.10E-07
262;5.94E-05;1.59E-53;6.10E-07
263;5.94E-05;1.11E-50;6.10E-07
264;1.48E-04;1.69E-49;2.09E-06
265;1.48E-04;5.41E-58;1.50E-06
266;1.26E-06;2.49E-51;1.39E-08
267;1.26E-06;9.16E-62;1.43E-08
268;1.26E-06;4.32E-69;1.41E-08
269;1.26E-06;4.10E-57;1.28E-08
270;1.26E-06;9.91E-56;1.29E-08
271;1.47E-04;5.63E-51;1.49E-06
272;1.47E-04;3.10E-59;1.49E-06
273;1.47E-04;2.00E-52;1.49E-06
274;1.26E-06;4.83E-65;1.29E-08
275;1.42E-07;3.88E-57;1.74E-09
276;1.42E-07;3.47E-55;1.74E-09
277;1.42E-07;2.94E-66;1.73E-09
278;2.28E-08;1.78E-60;3.06E-10
279;4.35E-09;6.32E-67;7.81E-11
280;4.35E-09;1.96E-63;7.86E-11
281;4.30E-06;1.41E-51;4.31E-08
282;4.30E-06;1.67E-63;4.31E-08
283;4.30E-06;8.26E-67;4.31E-08
284;4.30E-06;1.79E-52;4.30E-08
285;4.30E-06;7.97E-65;4.46E-08
286;8.86E-07;1.34E-62;1.08E-08
287;8.86E-07;1.80E-55;1.08E-08
288;8.86E-07;1.71E-61;1.05E-08
289;8.86E-07;4.71E-51;9.25E-09
290;8.86E-07;1.51E-51;9.25E-09
291;8.86E-07;1.21E-57;9.26E-09
292;8.86E-07;7.04E-78;9.27E-09
293;2.76E-08;5.05E-60;4.05E-10
294;2.89E-07;3.14E-66;3.29E-09
295;2.89E-07;1.13E-58;3.39E-09
296;1.03E-06;1.78E-80;1.37E-08
297;1.03E-06;2.72E-69;1.07E-08
298;2.76E-08;2.69E-64;4.16E-10
299;2.76E-08;2.94E-65;3.95E-10
300;2.76E-08;1.60E-57;3.95E-10
301;3.03E-07;9.54E-70;3.42E-09
302;3.03E-07;7.02E-74;3.45E-09
303;3.03E-07;8.87E-72;3.45E-09
304;3.03E-07;5.83E-61;3.44E-09
305;3.03E-07;1.16E-56;3.44E-09
306;3.03E-07;2.08E-55;4.36E-09
307;9.15E-08;5.91E-50;1.03E-09
308;9.15E-08;2.40E-53;1.02E-09
309;9.15E-08;5.51E-75;1.39E-09
310;3.12E-05;1.14E-60;3.13E-07
311;3.52E-08;4.81E-62;4.56E-10
312;3.52E-08;2.86E-58;4.44E-10
313;9.12E-09;2.39E-65;9.24E-11
314;1.77E-06;1.92E-78;1.78E-08
315;9.12E-09;1.01E-73;1.21E-10
316;9.12E-09;1.62E-51;9.20E-11
317;9.12E-09;1.04E-74;9.22E-11
318;9.12E-09;3.18E-63;1.20E-10
319;7.78E-07;3.68E-68;7.88E-09
320;7.78E-07;2.55E-55;7.99E-09
321;7.78E-07;3.00E-64;8.93E-09
322;7.78E-07;4.47E-53;8.64E-09
323;7.78E-07;3.92E-65;8.65E-09
324;7.78E-07;5.93E-54;8.65E-09
325;7.78E-07;4.07E-56;8.66E-09
326;7.78E-07;1.68E-64;8.31E-09
327;2.75E-06;8.29E-72;3.67E-08
328;1.46E-05;2.36E-66;1.82E-07
329;1.46E-05;3.40E-63;1.75E-07
330;1.46E-05;3.65E-50;1.74E-07
331;1.46E-05;2.08E-63;1.74E-07
332;1.46E-05;5.96E-77;2.67E-07
333;1.46E-05;6.44E-57;2.67E-07
334;1.46E-05;4.25E-56;2.67E-07
335;9.27E-06;9.11E-64;1.21E-07
336;2.42E-05;7.47E-62;3.62E-07
337;2.42E-05;6.90E-65;3.62E-07
338;2.42E-05;5.10E-82;2.43E-07
339;2.42E-05;7.82E-55;2.43E-07
340;2.42E-05;2.50E-64;2.43E-07
341;2.42E-05;3.04E-57;2.43E-07
342;2.42E-05;1.10E-53;2.59E-07
343;2.42E-05;2.75E-53;2.75E-07
344;2.42E-05;5.26E-57;2.58E-07
345;2.42E-05;2.27E-50;2.46E-07
346;3.71E-07;7.34E-74;4.79E-09
347;3.71E-07;8.95E-61;4.79E-09
348;3.71E-07;8.35E-63;3.72E-09
349;3.71E-07;8.81E-67;5.39E-09
350;3.82E-07;1.16E-53;9.01E-09
351;3.82E-07;1.05E-50;9.02E-09
352;3.82E-07;9.52E-68;9.15E-09
353;3.82E-07;1.76E-54;1.30E-08
354;3.82E-07;3.76E-65;1.30E-08
355;2.96E-06;2.77E-63;4.33E-08
356;2.96E-06;5.37E-59;4.33E-08
357;2.96E-06;3.83E-73;3.95E-08
358;2.96E-06;8.33E-52;3.88E-08
359;3.81E-07;2.39E-61;7.77E-09
360;3.81E-07;2.79E-58;3.97E-09
361;5.25E-08;1.33E-50;6.88E-10
362;5.25E-08;9.39E-60;6.84E-10
363;1.44E-08;7.39E-52;1.60E-10
364;1.44E-08;1.50E-57;1.56E-10
365;1.44E-08;3.01E-64;1.52E-10
366;1.44E-08;1.01E-61;1.52E-10
367;5.46E-10;1.01E-61;7.43E-12
368;5.46E-10;2.98E-61;7.45E-12
369;2.16E-08;4.26E-59;2.24E-10
370;2.16E-08;3.28E-58;2.27E-10
371;2.16E-08;1.63E-62;2.33E-10
372;3.43E-06;2.45E-83;3.45E-08
373;3.43E-06;4.28E-55;3.45E-08
374;1.42E-04;7.62E-59;1.45E-06
375;1.42E-04;1.42E-59;1.42E-06
376;1.42E-04;8.59E-62;1.42E-06
377;1.42E-04;9.39E-62;1.42E-06
378;0.003905642;1.21E-45;4.05E-05
379;0.003905642;3.56E-63;4.05E-05
380;0.003905642;4.15E-58;4.05E-05
381;0.003905642;1.09E-83;4.05E-05
